EDGEID,STARTNODE,ENDNODE,
AREST00103_AHALL00603,AREST00103,AHALL00603,
AHALL00203_ALABS00103,ALABS00103,AHALL00203,
AHALL00103_AELEV00S03,AELEV00S03,AHALL00103,
AHALL00503_ACONF00103,ACONF00103,AHALL00503,
AHALL00401_AHALL00501,AHALL00501,AHALL00401,
AHALL00603_AHALL00503,AHALL00603,AHALL00503,
AHALL00402_AHALL00502,AHALL00502,AHALL00402,
AHALL01001_AHALL00101,AHALL01001,AHALL00101,
AHALL00103_AHALL00203,AHALL00203,AHALL00103,
AHALL00101_ARETL00101,ARETL00101,AHALL00101,
AHALL00301_AHALL00801,AHALL00801,AHALL00301,
AHALL00402_AELEV00S02,AELEV00S02,AHALL00402,
BHALL04202_WELEV00H02,BHALL04202,WELEV00H02,
BHALL00102_BHALL00202,BHALL00102,BHALL00202,
BHALL00602_BHALL00702,BHALL00602,BHALL00702,
BHALL01302_BDEPT00802,BHALL01302,BDEPT00802,
BSTAI01002_WELEV00K02,BSTAI01002,WELEV00K02,
BSTAI00902_WHALL00602,BSTAI00902,WHALL00602,
BREST00402_BHALL03202,BREST00402,BHALL03202,
BHALL00702_BHALL01502,BHALL00702,BHALL01502,
BHALL00602_BHALL01802,BHALL00602,BHALL01802,
BHALL02102_BSERV00102,BHALL02102,BSERV00102,
BHALL02502_BHALL02602,BHALL02502,BHALL02602,
BSTAI00202_BHALL03802,BSTAI00202,BHALL03802,
BREST00102_BHALL03402,BREST00102,BHALL03402,
BHALL03502_BHALL00302,BHALL03502,BHALL00302,
BHALL01902_BHALL02002,BHALL01902,BHALL02002,
BHALL03602_BHALL03802,BHALL03602,BHALL03802,
BHALL01302_BINFO00202,BHALL01302,BINFO00202,
BHALL01902_BHALL04102,BHALL01902,BHALL04102,
BHALL04302_BHALL02902,BHALL04302,BHALL02902,
BSTAI00602_WELEV00E02,BSTAI00602,WELEV00E02,
BHALL04402_BHALL02802,BHALL04402,BHALL02802,
BHALL00502_BDEPT00302,BHALL00502,BDEPT00302,
BHALL04102_BHALL04202,BHALL04102,BHALL04202,
CCONF003L1_CHALL002L1,CCONF003L1,CHALL002L1,
CHALL001L1_CREST001L1,CHALL001L1,CREST001L1,
CHALL003L1_CCONF003L1,CHALL003L1,CCONF003L1,
CHALL004L1_CREST004L1,CHALL004L1,CREST004L1,
CHALL005L2_WELEV00ML2,CHALL005L2,WELEV00ML2,
CHALL007L2_CHALL008L2,CHALL007L2,CHALL008L2,
CHALL008L2_WELEV00LL2,CHALL008L2,WELEV00LL2,
CHALL010L1_CREST003L1,CHALL010L1,CREST003L1,
CHALL013L1_CDEPT002L1,CHALL013L1,CDEPT002L1,
CLABS001L1_CREST002L1,CLABS001L1,CREST002L1,
CLABS002L2_WELEV00KL2,CLABS002L2,WELEV00KL2,
CREST001L2_CLABS001L2,CREST001L2,CLABS001L2,
CREST004L1_CLABS005L1,CREST004L1,CLABS005L1,
WELEV00HL1_CHALL004L1,WELEV00HL1,CHALL004L1,
WELEV00ML2_CREST002L2,WELEV00ML2,CREST002L2,
DHALL00302_DHALL00402,DHALL00302,DHALL00402,
DHALL00702_DHALL00802,DHALL00702,DHALL00802,
DHALL01102_DHALL01202,DHALL01102,DHALL01202,
DHALL01202_DCONF00102,DHALL01202,DCONF00102,
DHALL01602_DHALL01702,DHALL01602,DHALL01702,
DHALL01902_DHALL02002,DHALL01902,DHALL02002,
DHALL02302_DHALL02402,DHALL02302,DHALL02402,
DHALL02602_DHALL02502,DHALL02602,DHALL02502,
DHALL02602_DHALL02702,DHALL02602,DHALL02702,
